gameId,start_time,duration,queue,win,championId,role,lane,kills,deaths,assists,damage_dealt,gold,cs,cspm_0,cspm_10,cspm_20,xppm_0,xppm_10,xppm_20,gpm_0,gpm_10,gpm_20,cspm_diff_0,cspm_diff_10,cspm_diff_20,xppm_diff_0,xppm_diff_10,xppm_diff_20
3921205767,1622050610.331,1987,420,True,136,SOLO,MIDDLE,14,5,10,127342,14028,169,6.5,5.9,2.7,421.5,471.4,591.3,333.3,363.5,533.5,-0.09999999999999964,-1,-4.5,-2.6999999999999886,-72.6,-230.3
3921243032,1622048720.985,1436,420,True,136,SOLO,MIDDLE,4,3,5,69724,8204,113,6,4,,430.6,376,,294.8,309.29999999999995,,0.5999999999999996,-2.3000000000000003,,58,-104.6,
3921189249,1622045857.905,1946,420,False,136,SOLO,MIDDLE,3,7,5,138980,11148,216,8.3,8.1,4,492.2,512.2,374.2,263.5,400.4,337.1,0,0.8999999999999999,0.09999999999999987,17.80000000000001,37.10000000000005,-160.50000000000003
3920415993,1621997350.212,1980,400,True,236,DUO_CARRY,BOTTOM,12,10,5,184992,16398,222,6.6,8.6,4.800000000000001,293.7,553.5,322.5,314.1,583.4,365.7,2.3000000000000003,1.65,-1.1500000000000001,45,93.99999999999997,-275
3920390677,1621995329.086,1629,400,False,360,DUO_CARRY,BOTTOM,1,8,5,63663,7653,140,4.9,5.8,,266.9,384.8,,193.8,331.1,,-0.5,-0.7999999999999998,,-71.30000000000001,-144.70000000000002,
3920293743,1621992590.579,2307,440,True,22,DUO_CARRY,BOTTOM,10,5,11,201142,16955,237,7.1,6.1,7.7,296.3,393,699.5999999999999,245.1,455.5,504.20000000000005,-0.19999999999999973,0.25,-0.55,-18.400000000000006,-45.25,115.64999999999998
3920253379,1621989102.742,1570,440,True,21,DUO_CARRY,BOTTOM,7,6,7,95197,10472,146,6.3,5.7,,287.1,440.9,,274.5,431.6,,,,,,,
3920158043,1621986320.555,1921,440,True,240,SOLO,TOP,5,5,18,118053,11860,143,6,4.9,3.4,464.3,429.2,569.3,278.9,354.9,404.2,-1.2000000000000002,0.8,-2,15.200000000000017,-72.40000000000003,-29.399999999999977
3920087397,1621980907.045,1989,440,True,51,DUO_CARRY,BOTTOM,13,3,12,179709,15128,185,6.5,6.699999999999999,4,342.2,466.09999999999997,494,307.3,446.1,464.70000000000005,0.5,0.4500000000000004,-1.5999999999999999,46.150000000000006,62.099999999999994,60.05000000000004
3920112699,1621978798.876,1461,420,False,105,SOLO,MIDDLE,4,2,2,59759,8441,136,5.5,6.6,,386,493.5,,226.8,373.20000000000005,,0.10000000000000009,-2.2,,-29.19999999999999,-46.89999999999998,
3920038625,1621976479.283,1633,420,False,6,SOLO,TOP,3,8,3,100795,10132,153,6.1,6.800000000000001,,397.79999999999995,576.6,,218.7,559.9,,,,,,,
3919954258,1621967435.804,1660,420,True,51,DUO_CARRY,BOTTOM,4,4,12,135171,12193,187,8.3,6.3,,380.9,427.6,,330.9,439.7,,0.5,3,,54.45,230.59999999999997,
3919920767,1621958291.156,1798,420,True,136,SOLO,MIDDLE,6,1,20,154759,13266,204,6.1,8.899999999999999,,418.1,609.3,,246,490.3,,0.09999999999999964,2.8999999999999995,,-79.40000000000003,173.5,
3919535340,1621919852.558,1943,400,True,427,NONE,JUNGLE,2,5,14,334879,10465,15,0.5,0.30000000000000004,0.4,330.2,489.40000000000003,347.9,241,390.4,258.1,0.4,-0.1,-0.49999999999999994,-12.300000000000011,36.200000000000045,6.000000000000028
3919522635,1621918548.899,913,400,True,9,DUO_SUPPORT,NONE,2,2,9,71747,5698,17,1,,,333.5,,,250.5,,,0.6599999999999999,,,48.66,,
3919516700,1621916706.201,1434,400,False,122,SOLO,TOP,0,7,1,69014,6479,134,5.4,5.699999999999999,,331.4,452.6,,209.6,283.8,,0.09999999999999964,0.5999999999999996,,-66.10000000000001,-80.79999999999998,
3919451523,1621914363.933,1897,400,False,122,SOLO,TOP,1,10,13,102630,9342,132,4.8,5.699999999999999,2.0999999999999996,366.70000000000005,464.4,405.6,209,359.2,278.9,-1.5,-1.0000000000000004,-1.0000000000000002,-159.4,-110.99999999999997,-71.30000000000001
3919402455,1621911442.802,2500,440,True,141,NONE,JUNGLE,16,9,8,225619,19268,84,0.1,3,0.8999999999999999,309.79999999999995,484.8,495.5,277.5,355.7,584,-0.7,1.4,0.19999999999999996,-22.600000000000023,5.2000000000000455,7
3919335143,1621908982.899,1677,420,True,6,SOLO,TOP,9,6,9,112928,12383,148,6.1,5.300000000000001,,421.4,489.8,,288.2,452.90000000000003,,0.9999999999999998,2.1000000000000005,,23.19999999999996,163.9,
3919016310,1621897347.492,2215,400,True,51,DUO_CARRY,BOTTOM,6,13,7,188408,13644,170,6.4,4.800000000000001,4.1,321.29999999999995,340.9,536.9,267.1,338.2,425,0.24999999999999978,-1.6,-1.1500000000000001,58.35000000000002,-77.94999999999999,43.25000000000006
3918051983,1621824753.282,2255,400,False,102,NONE,JUNGLE,11,13,9,226401,17137,87,0,3,4.2,356.3,570.6,760.2,295.3,467.4,654.3,0,1.3000000000000003,2,-42.79999999999998,-120.6,178.5
